Asia_Ranking,Asia_City,Asia_Country,Asia_Country_url,Asia_Image
1,Tokyo,Japan,https://www.ranker.com/review/japan/1269384?ref=node_name&pos=1&a=0&ltype=n&l=1002311&g=2,https://imgix.ranker.com/node_img/64/1269384/original/japan-all-countries-photo-1?w=87&h=87&fit=crop&crop=faces&q=60&fm=jpg
2,Bangkok,Thailand,https://www.ranker.com/review/thailand/2167516?ref=node_name&pos=2&a=0&ltype=n&l=1002311&g=2,https://imgix.ranker.com/node_img/109/2167516/original/thailand-all-countries-photo-1?w=87&h=87&fit=crop&crop=faces&q=60&fm=jpg
3,Seoul,South Korea,https://www.ranker.com/review/south-korea/2068810?ref=node_name&pos=3&a=0&ltype=n&l=1002311&g=2,https://imgix.ranker.com/user_node_img/104/2068810/original/south-korea-schools-colleges-photo-u8?w=87&h=87&fit=crop&crop=faces&q=60&fm=jpg
4,Singapore,Singapore,https://www.ranker.com/review/singapore/2036490?ref=node_name&pos=4&a=0&ltype=n&l=1002311&g=2,https://imgix.ranker.com/node_img/102/2036490/original/singapore-cities-and-towns-photo-3?w=87&h=87&fit=crop&crop=faces&q=60&fm=jpg
5,Hanoi,Vietnam,https://www.ranker.com/review/vietnam/2337107?ref=node_name&pos=5&a=0&ltype=n&l=1002311&g=2,https://imgix.ranker.com/user_node_img/117/2337107/original/vietnam-all-countries-photo-u17?w=87&h=87&fit=crop&crop=faces&q=60&fm=jpg
6,Manila,Philippines,https://www.ranker.com/review/philippines/1793195?ref=node_name&pos=6&a=0&ltype=n&l=1002311&g=2,https://imgix.ranker.com/node_img/90/1793195/original/philippines-all-countries-photo-1?w=87&h=87&fit=crop&crop=faces&q=60&fm=jpg
7,Kathmandu,Nepal,https://www.ranker.com/review/nepal/1661948?ref=node_name&pos=7&a=0&ltype=n&l=1002311&g=2,
8,Jakarta,Indonesia,https://www.ranker.com/review/indonesia/1219699?ref=node_name&pos=8&a=0&ltype=n&l=1002311&g=2,
9,Kuala Lumpur,Malaysia,https://www.ranker.com/review/malaysia/1504524?ref=node_name&pos=9&a=0&ltype=n&l=1002311&g=2,
10,New Delhi,India,https://www.ranker.com/review/india/1217993?ref=node_name&pos=10&a=0&ltype=n&l=1002311&g=2,
11,Beijing,China,https://www.ranker.com/review/china/717321?ref=node_name&pos=11&a=0&ltype=n&l=1002311&g=2,
12,,Hong Kong,https://www.ranker.com/review/hong-kong/1176574?ref=node_name&pos=12&a=0&ltype=n&l=1002311&g=2,
13,Ankara,Turkey,https://www.ranker.com/review/turkey/2287596?ref=node_name&pos=13&a=0&ltype=n&l=1002311&g=2,
14,Phnom Penh,Cambodia,https://www.ranker.com/review/cambodia/660624?ref=node_name&pos=14&a=0&ltype=n&l=1002311&g=2,
15,Taipei,Taiwan,https://www.ranker.com/review/republic-of-china/719462?ref=node_name&pos=15&a=0&ltype=n&l=1002311&g=2,
16,Vientiane,Laos,https://www.ranker.com/review/laos/1411999?ref=node_name&pos=16&a=0&ltype=n&l=1002311&g=2,
